record_type,analysis_start,analysis_end,total_events,total_users,total_items,total_categories,buy_events,paying_users,repeat_buy_users,repeat_buy_rate,behavior_type,event_count,event_ratio,date,uv,active_items,pv,fav,cart,buy,hour,total_behavior_count,valid_conversion_count,conversion_to_buy_rate,funnel_order,one_time_buyers,r_score,f_score,segment,user_count,avg_recency_days,avg_frequency,cohort_date,day_number,retained_users,cohort_users,retention_rate,category_id,item_count,buy_pv_rate,item_id
daily,,,,,,,,,,,,303418.0,,2017-12-02,20243.0,173223.0,271589.0,8974.0,17317.0,5538.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,264544.0,,2017-12-03,19745.0,155798.0,236548.0,7728.0,15054.0,5214.0,,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,74748.0,,,9579.0,55910.0,66919.0,2201.0,4231.0,1397.0,0.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,90984.0,,,11241.0,65966.0,81156.0,2754.0,5018.0,2056.0,1.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,105521.0,,,12480.0,75277.0,93854.0,3191.0,5747.0,2729.0,2.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,104449.0,,,12671.0,74942.0,92612.0,3268.0,5832.0,2737.0,3.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,104706.0,,,12847.0,75639.0,93269.0,3099.0,5698.0,2640.0,4.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,115054.0,,,13076.0,81708.0,102820.0,3410.0,6039.0,2785.0,5.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,111499.0,,,12744.0,79522.0,99949.0,3086.0,5902.0,2562.0,6.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,116436.0,,,13008.0,81591.0,104229.0,3345.0,6192.0,2670.0,7.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,112806.0,,,12911.0,80436.0,101099.0,3158.0,5996.0,2553.0,8.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,101796.0,,,12532.0,73491.0,90644.0,3124.0,5781.0,2247.0,9.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,104427.0,,,12499.0,75249.0,94089.0,2862.0,5447.0,2029.0,10.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,131309.0,,,13478.0,91345.0,118276.0,3564.0,6965.0,2504.0,11.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,159377.0,,,14284.0,107219.0,143467.0,4311.0,8656.0,2943.0,12.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,181031.0,,,14609.0,118606.0,162988.0,4759.0,10220.0,3064.0,13.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,179370.0,,,13957.0,117326.0,160763.0,5114.0,10522.0,2971.0,14.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,137134.0,,,11046.0,94073.0,121942.0,4204.0,8854.0,2134.0,15.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,66023.0,,,6453.0,50456.0,59203.0,2007.0,3663.0,1150.0,16.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,29884.0,,,3270.0,24598.0,26860.0,857.0,1708.0,459.0,17.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,17030.0,,,1932.0,14522.0,15210.0,601.0,947.0,272.0,18.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,12271.0,,,1393.0,10570.0,11040.0,376.0,737.0,118.0,19.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,10395.0,,,1233.0,8870.0,9369.0,295.0,573.0,158.0,20.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,12044.0,,,1632.0,10416.0,10735.0,400.0,744.0,165.0,21.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,25277.0,,,3522.0,21067.0,22528.0,861.0,1540.0,348.0,22.0,,,,,,,,,,,,,,,,,,,,
hourly,,,,,,,,,,,,47225.0,,,6530.0,37243.0,42413.0,1319.0,2778.0,715.0,23.0,,,,,,,,,,,,,,,,,,,,
conversion,,,,,,,,,,,pv,,,,,,,,,,,1925434.0,47489.0,0.024664049767480992,1.0,,,,,,,,,,,,,,,,
conversion,,,,,,,,,,,fav,,,,,,,,,,,62166.0,2739.0,0.04405945372068333,2.0,,,,,,,,,,,,,,,,
conversion,,,,,,,,,,,cart,,,,,,,,,,,119790.0,7580.0,0.06327740212037733,3.0,,,,,,,,,,,,,,,,
repeat_purchase,,,,,,,,14418.0,9520.0,0.6602857539187127,,,,,,,,,,,,,,,,4898.0,,,,,,,,,,,,,,,
rf_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,一般/沉睡用户,3028.0,5.386723910171731,1.0,,,,,,,,,
rf_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,重要召回用户,3208.0,4.526807980049876,3.3129675810473818,,,,,,,,,
rf_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,潜力用户,1870.0,0.9401069518716577,1.0,,,,,,,,,
rf_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,高价值用户,6312.0,0.7438212927756654,4.416983523447402,,,,,,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,0.0,15100.0,15100.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,1.0,11880.0,15100.0,0.7867549668874172,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,2.0,11546.0,15100.0,0.7646357615894039,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,3.0,11503.0,15100.0,0.7617880794701987,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,4.0,11533.0,15100.0,0.763774834437086,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,5.0,11606.0,15100.0,0.7686092715231788,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,6.0,11924.0,15100.0,0.7896688741721855,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,7.0,14503.0,15100.0,0.9604635761589404,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-25,8.0,14179.0,15100.0,0.9390066225165563,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,0.0,3492.0,3492.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,1.0,2254.0,3492.0,0.645475372279496,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,2.0,2253.0,3492.0,0.6451890034364262,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,3.0,2341.0,3492.0,0.670389461626575,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,4.0,2367.0,3492.0,0.6778350515463918,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,5.0,2471.0,3492.0,0.7076174112256587,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,6.0,3309.0,3492.0,0.947594501718213,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-26,7.0,3227.0,3492.0,0.9241122565864834,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,0.0,1389.0,1389.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,1.0,847.0,1389.0,0.6097912167026638,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,2.0,859.0,1389.0,0.6184305255579554,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,3.0,910.0,1389.0,0.6551475881929446,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,4.0,917.0,1389.0,0.660187185025198,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,5.0,1301.0,1389.0,0.9366450683945284,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-27,6.0,1246.0,1389.0,0.8970482361411087,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-28,0.0,645.0,645.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-28,1.0,379.0,645.0,0.5875968992248062,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-28,2.0,436.0,645.0,0.6759689922480621,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-28,3.0,457.0,645.0,0.7085271317829457,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-28,4.0,599.0,645.0,0.9286821705426357,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-28,5.0,580.0,645.0,0.8992248062015504,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-29,0.0,381.0,381.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-29,1.0,259.0,381.0,0.6797900262467191,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-29,2.0,268.0,381.0,0.7034120734908137,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-29,3.0,351.0,381.0,0.9212598425196851,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-29,4.0,340.0,381.0,0.8923884514435696,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-30,0.0,181.0,181.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-30,1.0,164.0,181.0,0.9060773480662984,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-30,2.0,167.0,181.0,0.9226519337016574,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-30,3.0,162.0,181.0,0.8950276243093923,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,0.0,11.0,11.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,1.0,10.0,11.0,0.9090909090909091,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,2.0,8.0,11.0,0.7272727272727273,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-02,0.0,3.0,3.0,1.0,,,,
retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-02,1.0,3.0,3.0,1.0,,,,
category,,,,,,,,,,,,115556.0,,,9390.0,,106439.0,3428.0,5090.0,599.0,,,,,,,,,,,,,,,,,,4756105.0,14978.0,0.005627636486626142,
category,,,,,,,,,,,,76445.0,,,8319.0,,69345.0,2561.0,3795.0,744.0,,,,,,,,,,,,,,,,,,4145813.0,16452.0,0.01072896387627082,
category,,,,,,,,,,,,72232.0,,,8039.0,,67430.0,1851.0,2682.0,269.0,,,,,,,,,,,,,,,,,,2355072.0,14528.0,0.003989322260121607,
category,,,,,,,,,,,,67159.0,,,7295.0,,63112.0,1467.0,2309.0,271.0,,,,,,,,,,,,,,,,,,3607361.0,9959.0,0.004293953606287235,
category,,,,,,,,,,,,65449.0,,,8750.0,,59674.0,1912.0,3362.0,501.0,,,,,,,,,,,,,,,,,,982926.0,13293.0,0.008395616181251467,
category,,,,,,,,,,,,46164.0,,,7224.0,,41446.0,1479.0,2643.0,596.0,,,,,,,,,,,,,,,,,,4801426.0,10167.0,0.014380157313130339,
category,,,,,,,,,,,,45484.0,,,6537.0,,42079.0,1311.0,1887.0,207.0,,,,,,,,,,,,,,,,,,2520377.0,14287.0,0.004919318424867511,
category,,,,,,,,,,,,41159.0,,,7659.0,,37632.0,1175.0,2010.0,342.0,,,,,,,,,,,,,,,,,,1320293.0,11143.0,0.009088010204081632,
category,,,,,,,,,,,,37465.0,,,5973.0,,33994.0,1247.0,1917.0,307.0,,,,,,,,,,,,,,,,,,2465336.0,10057.0,0.009031005471553803,
category,,,,,,,,,,,,34254.0,,,5927.0,,30878.0,1192.0,1791.0,393.0,,,,,,,,,,,,,,,,,,3002561.0,9528.0,0.012727508258306885,
category,,,,,,,,,,,,28170.0,,,5918.0,,24543.0,781.0,2062.0,784.0,,,,,,,,,,,,,,,,,,2735466.0,4581.0,0.03194393513425416,
category,,,,,,,,,,,,25126.0,,,3813.0,,22504.0,1049.0,1368.0,205.0,,,,,,,,,,,,,,,,,,4181361.0,7955.0,0.009109491645929613,
category,,,,,,,,,,,,24258.0,,,4453.0,,21660.0,909.0,1402.0,287.0,,,,,,,,,,,,,,,,,,149192.0,6695.0,0.013250230840258542,
category,,,,,,,,,,,,23696.0,,,5193.0,,21921.0,791.0,881.0,103.0,,,,,,,,,,,,,,,,,,1080785.0,5250.0,0.004698690753159071,
category,,,,,,,,,,,,22809.0,,,3439.0,,20266.0,715.0,1167.0,661.0,,,,,,,,,,,,,,,,,,2885642.0,8724.0,0.03261620448041054,
category,,,,,,,,,,,,22694.0,,,4586.0,,20278.0,777.0,1343.0,296.0,,,,,,,,,,,,,,,,,,4217906.0,5680.0,0.014597100305750075,
category,,,,,,,,,,,,20390.0,,,2870.0,,18474.0,450.0,1250.0,216.0,,,,,,,,,,,,,,,,,,3738615.0,4203.0,0.011692107827216629,
category,,,,,,,,,,,,19776.0,,,3240.0,,18584.0,546.0,589.0,57.0,,,,,,,,,,,,,,,,,,154040.0,4537.0,0.0030671545415411105,
category,,,,,,,,,,,,18938.0,,,3283.0,,17099.0,610.0,933.0,296.0,,,,,,,,,,,,,,,,,,1879194.0,4264.0,0.0173109538569507,
category,,,,,,,,,,,,18381.0,,,4069.0,,15650.0,584.0,1348.0,799.0,,,,,,,,,,,,,,,,,,1464116.0,4133.0,0.051054313099041536,
category,,,,,,,,,,,,18346.0,,,2812.0,,16253.0,335.0,1368.0,390.0,,,,,,,,,,,,,,,,,,2640118.0,5159.0,0.02399557004860641,
category,,,,,,,,,,,,16801.0,,,2762.0,,14945.0,513.0,984.0,359.0,,,,,,,,,,,,,,,,,,4357323.0,4351.0,0.024021411843425895,
category,,,,,,,,,,,,15820.0,,,3903.0,,14239.0,476.0,852.0,253.0,,,,,,,,,,,,,,,,,,2520771.0,5159.0,0.017768101692534587,
category,,,,,,,,,,,,15148.0,,,3048.0,,13240.0,551.0,1061.0,296.0,,,,,,,,,,,,,,,,,,570735.0,3812.0,0.022356495468277945,
category,,,,,,,,,,,,14950.0,,,3728.0,,13757.0,511.0,624.0,58.0,,,,,,,,,,,,,,,,,,2920476.0,4024.0,0.004216035472850185,
category,,,,,,,,,,,,13358.0,,,2664.0,,12422.0,296.0,493.0,147.0,,,,,,,,,,,,,,,,,,4170419.0,3046.0,0.011833843181452261,
category,,,,,,,,,,,,12221.0,,,2807.0,,11187.0,335.0,585.0,114.0,,,,,,,,,,,,,,,,,,4643350.0,2679.0,0.010190399570930545,
category,,,,,,,,,,,,11563.0,,,2401.0,,10302.0,352.0,615.0,294.0,,,,,,,,,,,,,,,,,,1299190.0,3831.0,0.028538147932440302,
category,,,,,,,,,,,,11368.0,,,2468.0,,10226.0,354.0,562.0,226.0,,,,,,,,,,,,,,,,,,2939262.0,4089.0,0.022100528065714845,
category,,,,,,,,,,,,11162.0,,,2330.0,,10685.0,133.0,254.0,90.0,,,,,,,,,,,,,,,,,,2096639.0,1536.0,0.008423022929340197,
category,,,,,,,,,,,,10930.0,,,2209.0,,9519.0,420.0,743.0,248.0,,,,,,,,,,,,,,,,,,1575622.0,3358.0,0.026053156844206324,
category,,,,,,,,,,,,10871.0,,,2523.0,,10068.0,243.0,476.0,84.0,,,,,,,,,,,,,,,,,,1859277.0,3218.0,0.00834326579261025,
category,,,,,,,,,,,,10219.0,,,2424.0,,9059.0,335.0,552.0,273.0,,,,,,,,,,,,,,,,,,1029459.0,3030.0,0.030135776575780992,
category,,,,,,,,,,,,10110.0,,,2170.0,,8946.0,318.0,711.0,135.0,,,,,,,,,,,,,,,,,,411153.0,2478.0,0.015090543259557344,
category,,,,,,,,,,,,9217.0,,,1416.0,,8331.0,268.0,483.0,135.0,,,,,,,,,,,,,,,,,,3299155.0,3285.0,0.01620453727043572,
category,,,,,,,,,,,,8696.0,,,1654.0,,7781.0,178.0,598.0,139.0,,,,,,,,,,,,,,,,,,2578647.0,2472.0,0.01786402775992803,
category,,,,,,,,,,,,8687.0,,,1809.0,,7958.0,151.0,500.0,78.0,,,,,,,,,,,,,,,,,,4022701.0,1971.0,0.009801457652676551,
category,,,,,,,,,,,,8678.0,,,2021.0,,7658.0,370.0,527.0,123.0,,,,,,,,,,,,,,,,,,4690421.0,1685.0,0.01606163489161661,
category,,,,,,,,,,,,8323.0,,,2262.0,,7558.0,284.0,404.0,77.0,,,,,,,,,,,,,,,,,,2131531.0,3190.0,0.010187880391638,
category,,,,,,,,,,,,7944.0,,,1805.0,,6960.0,154.0,497.0,333.0,,,,,,,,,,,,,,,,,,4789432.0,2501.0,0.047844827586206895,
category,,,,,,,,,,,,7897.0,,,2200.0,,6897.0,252.0,567.0,181.0,,,,,,,,,,,,,,,,,,883960.0,1512.0,0.026243294185877918,
category,,,,,,,,,,,,7712.0,,,1986.0,,7058.0,233.0,325.0,96.0,,,,,,,,,,,,,,,,,,5071267.0,2891.0,0.013601586851799376,
category,,,,,,,,,,,,7571.0,,,1922.0,,6524.0,199.0,533.0,315.0,,,,,,,,,,,,,,,,,,903809.0,1758.0,0.048283261802575105,
category,,,,,,,,,,,,7380.0,,,1937.0,,6636.0,283.0,342.0,119.0,,,,,,,,,,,,,,,,,,1051370.0,2727.0,0.017932489451476793,
category,,,,,,,,,,,,7121.0,,,1530.0,,6400.0,216.0,429.0,76.0,,,,,,,,,,,,,,,,,,753984.0,2805.0,0.011875,
category,,,,,,,,,,,,6952.0,,,1568.0,,6117.0,189.0,534.0,112.0,,,,,,,,,,,,,,,,,,2926020.0,1706.0,0.018309628903057054,
category,,,,,,,,,,,,6923.0,,,1026.0,,6214.0,147.0,448.0,114.0,,,,,,,,,,,,,,,,,,285583.0,1853.0,0.018345671065336338,
category,,,,,,,,,,,,6810.0,,,1689.0,,6233.0,155.0,366.0,56.0,,,,,,,,,,,,,,,,,,2558244.0,1996.0,0.008984437670463662,
category,,,,,,,,,,,,6806.0,,,1538.0,,6006.0,221.0,359.0,220.0,,,,,,,,,,,,,,,,,,5053508.0,2093.0,0.03663003663003663,
category,,,,,,,,,,,,6686.0,,,2006.0,,6059.0,126.0,397.0,104.0,,,,,,,,,,,,,,,,,,200278.0,1910.0,0.017164548605380425,
product,,,,,,,,,,,,389.0,,,378.0,,379.0,2.0,8.0,0.0,,,,,,,,,,,,,,,,,,4818107.0,,0.0,59883.0
product,,,,,,,,,,,,201.0,,,166.0,,191.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,1080785.0,,0.005235602094240838,105055.0
product,,,,,,,,,,,,461.0,,,300.0,,433.0,9.0,16.0,3.0,,,,,,,,,,,,,,,,,,3607361.0,,0.006928406466512702,138964.0
product,,,,,,,,,,,,192.0,,,107.0,,182.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,2355072.0,,0.01098901098901099,181419.0
product,,,,,,,,,,,,187.0,,,146.0,,168.0,5.0,13.0,1.0,,,,,,,,,,,,,,,,,,4756105.0,,0.005952380952380952,207994.0
product,,,,,,,,,,,,195.0,,,124.0,,164.0,7.0,17.0,7.0,,,,,,,,,,,,,,,,,,4145813.0,,0.042682926829268296,232919.0
product,,,,,,,,,,,,217.0,,,192.0,,204.0,5.0,7.0,1.0,,,,,,,,,,,,,,,,,,1080785.0,,0.004901960784313725,240034.0
product,,,,,,,,,,,,195.0,,,166.0,,184.0,6.0,5.0,0.0,,,,,,,,,,,,,,,,,,982926.0,,0.0,250498.0
product,,,,,,,,,,,,241.0,,,127.0,,216.0,8.0,15.0,2.0,,,,,,,,,,,,,,,,,,4756105.0,,0.009259259259259259,297610.0
product,,,,,,,,,,,,188.0,,,161.0,,178.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,2632873.0,,0.03932584269662921,320169.0
product,,,,,,,,,,,,213.0,,,165.0,,199.0,6.0,8.0,0.0,,,,,,,,,,,,,,,,,,1080785.0,,0.0,342576.0
product,,,,,,,,,,,,233.0,,,199.0,,210.0,6.0,14.0,3.0,,,,,,,,,,,,,,,,,,2735466.0,,0.014285714285714285,363858.0
product,,,,,,,,,,,,205.0,,,136.0,,185.0,6.0,13.0,1.0,,,,,,,,,,,,,,,,,,2355072.0,,0.005405405405405406,393880.0
product,,,,,,,,,,,,243.0,,,162.0,,213.0,4.0,19.0,7.0,,,,,,,,,,,,,,,,,,1320293.0,,0.03286384976525822,395399.0
product,,,,,,,,,,,,235.0,,,181.0,,217.0,6.0,11.0,1.0,,,,,,,,,,,,,,,,,,4643350.0,,0.004608294930875576,602041.0
product,,,,,,,,,,,,276.0,,,218.0,,257.0,11.0,8.0,0.0,,,,,,,,,,,,,,,,,,2355072.0,,0.0,640975.0
product,,,,,,,,,,,,308.0,,,201.0,,261.0,5.0,27.0,15.0,,,,,,,,,,,,,,,,,,3158249.0,,0.05747126436781609,705557.0
product,,,,,,,,,,,,203.0,,,144.0,,183.0,1.0,13.0,6.0,,,,,,,,,,,,,,,,,,3607361.0,,0.03278688524590164,726505.0
product,,,,,,,,,,,,200.0,,,171.0,,164.0,13.0,15.0,8.0,,,,,,,,,,,,,,,,,,904454.0,,0.04878048780487805,740947.0
product,,,,,,,,,,,,198.0,,,191.0,,193.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,339305.0,,0.0,775348.0
product,,,,,,,,,,,,683.0,,,445.0,,635.0,18.0,28.0,2.0,,,,,,,,,,,,,,,,,,4756105.0,,0.0031496062992125984,812879.0
product,,,,,,,,,,,,218.0,,,152.0,,205.0,4.0,9.0,0.0,,,,,,,,,,,,,,,,,,2465336.0,,0.0,866111.0
product,,,,,,,,,,,,354.0,,,264.0,,326.0,11.0,17.0,0.0,,,,,,,,,,,,,,,,,,2355072.0,,0.0,987143.0
product,,,,,,,,,,,,193.0,,,147.0,,175.0,6.0,9.0,3.0,,,,,,,,,,,,,,,,,,4801426.0,,0.017142857142857144,1154789.0
product,,,,,,,,,,,,220.0,,,208.0,,194.0,9.0,17.0,0.0,,,,,,,,,,,,,,,,,,3138705.0,,0.0,1164931.0
product,,,,,,,,,,,,270.0,,,186.0,,254.0,4.0,12.0,0.0,,,,,,,,,,,,,,,,,,3607361.0,,0.0,1223110.0
product,,,,,,,,,,,,234.0,,,163.0,,203.0,5.0,21.0,5.0,,,,,,,,,,,,,,,,,,982926.0,,0.024630541871921183,1402604.0
product,,,,,,,,,,,,253.0,,,204.0,,225.0,3.0,15.0,10.0,,,,,,,,,,,,,,,,,,2735466.0,,0.044444444444444446,1444258.0
product,,,,,,,,,,,,193.0,,,124.0,,179.0,6.0,7.0,1.0,,,,,,,,,,,,,,,,,,4756105.0,,0.00558659217877095,1457948.0
product,,,,,,,,,,,,188.0,,,121.0,,174.0,6.0,8.0,0.0,,,,,,,,,,,,,,,,,,4756105.0,,0.0,1459442.0
product,,,,,,,,,,,,446.0,,,389.0,,386.0,18.0,30.0,12.0,,,,,,,,,,,,,,,,,,3848953.0,,0.031088082901554404,1535294.0
product,,,,,,,,,,,,204.0,,,160.0,,190.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,982926.0,,0.0,1541734.0
product,,,,,,,,,,,,336.0,,,291.0,,307.0,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,4801426.0,,0.006514657980456026,1583704.0
product,,,,,,,,,,,,354.0,,,273.0,,354.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1320293.0,,0.0,1591862.0
product,,,,,,,,,,,,190.0,,,141.0,,148.0,8.0,25.0,9.0,,,,,,,,,,,,,,,,,,2735466.0,,0.060810810810810814,1684440.0
product,,,,,,,,,,,,220.0,,,187.0,,206.0,6.0,8.0,0.0,,,,,,,,,,,,,,,,,,154040.0,,0.0,1699547.0
product,,,,,,,,,,,,225.0,,,145.0,,216.0,0.0,7.0,2.0,,,,,,,,,,,,,,,,,,2096639.0,,0.009259259259259259,1773536.0
product,,,,,,,,,,,,210.0,,,200.0,,197.0,2.0,9.0,2.0,,,,,,,,,,,,,,,,,,2495340.0,,0.01015228426395939,1819353.0
product,,,,,,,,,,,,200.0,,,142.0,,187.0,10.0,3.0,0.0,,,,,,,,,,,,,,,,,,4756105.0,,0.0,1864347.0
product,,,,,,,,,,,,213.0,,,167.0,,197.0,3.0,12.0,1.0,,,,,,,,,,,,,,,,,,4756105.0,,0.005076142131979695,1886236.0
